"id","id_usuario","tipo_movimiento","origen","elementos_involucrados","fecha_hora","comentario"
"73","192.168.1.2","1","Newsletter","Home_Page","2025-11-02 09:43:00","Inicio de sesion"
"74","192.168.1.2","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 09:43:21","Navegando catalogo"
"75","192.168.1.2","2","Newsletter","btn_agregar_carrito","2025-11-02 09:43:23","Interaccion interfaz"
"76","192.168.1.2","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-02 09:43:38","Navegando catalogo"
"77","192.168.1.2","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 09:44:14","Navegando catalogo"
"78","192.168.1.2","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-02 09:44:22","Navegando catalogo"
"79","192.168.1.2","5","Newsletter","btn_cancelar_checkout","2025-11-02 09:44:58","Abandono en pago"
"80","192.168.1.27","1","Directo","Home_Page","2025-11-02 10:52:00","Inicio de sesion"
"81","192.168.1.27","3","Directo","vista_Jean_Slim_Negro","2025-11-02 10:52:31","Navegando catalogo"
"82","192.168.1.27","2","Directo","btn_ver_tallas","2025-11-02 10:52:33","Interaccion interfaz"
"83","192.168.1.27","3","Directo","vista_Jean_Slim_Negro","2025-11-02 10:53:12","Navegando catalogo"
"84","192.168.1.27","3","Directo","vista_Chaqueta_Cuero","2025-11-02 10:53:45","Navegando catalogo"
"85","192.168.1.27","2","Directo","img_zoom","2025-11-02 10:53:47","Interaccion interfaz"
"86","192.168.1.27","3","Directo","vista_Vestido_Verano_Floral","2025-11-02 10:54:14","Navegando catalogo"
"87","192.168.1.27","2","Directo","btn_ver_tallas","2025-11-02 10:54:16","Interaccion interfaz"
"88","192.168.1.27","5","Directo","btn_cancelar_checkout","2025-11-02 10:55:01","Abandono en pago"
"89","192.168.1.6","1","Google Ads","Home_Page","2025-11-02 13:23:00","Inicio de sesion"
"90","192.168.1.6","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 13:23:17","Navegando catalogo"
"91","192.168.1.6","2","Google Ads","btn_agregar_carrito","2025-11-02 13:23:19","Interaccion interfaz"
"92","192.168.1.6","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 13:24:01","Navegando catalogo"
"93","192.168.1.6","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 13:24:10","Navegando catalogo"
"94","192.168.1.6","2","Google Ads","img_zoom","2025-11-02 13:24:12","Interaccion interfaz"
"95","192.168.1.6","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 13:24:44","Navegando catalogo"
"96","192.168.1.6","5","Google Ads","btn_cancelar_checkout","2025-11-02 13:25:41","Abandono en pago"
"97","192.168.1.15","1","Newsletter","Home_Page","2025-11-02 15:35:00","Inicio de sesion"
"98","192.168.1.15","3","Newsletter","vista_Chaqueta_Cuero","2025-11-02 15:35:35","Navegando catalogo"
"99","192.168.1.15","2","Newsletter","btn_ver_tallas","2025-11-02 15:35:37","Interaccion interfaz"
"100","192.168.1.15","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-02 15:35:58","Navegando catalogo"
"101","192.168.1.15","2","Newsletter","link_menu_hombres","2025-11-02 15:36:00","Interaccion interfaz"
"102","192.168.1.15","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 15:36:07","Navegando catalogo"
"103","192.168.1.15","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 15:36:36","Navegando catalogo"
"104","192.168.1.15","5","Newsletter","btn_cancelar_checkout","2025-11-02 15:37:07","Abandono en pago"
"105","192.168.1.15","1","Facebook","Home_Page","2025-11-02 16:28:00","Inicio de sesion"
"106","192.168.1.15","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-02 16:28:27","Navegando catalogo"
"107","192.168.1.15","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 16:28:55","Navegando catalogo"
"108","192.168.1.15","2","Facebook","link_menu_hombres","2025-11-02 16:28:57","Interaccion interfaz"
"109","192.168.1.15","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 16:29:05","Navegando catalogo"
"110","192.168.1.15","2","Facebook","img_zoom","2025-11-02 16:29:07","Interaccion interfaz"
"111","192.168.1.15","3","Facebook","vista_Zapatillas_Urban","2025-11-02 16:29:40","Navegando catalogo"
"112","192.168.1.15","2","Facebook","link_menu_hombres","2025-11-02 16:29:42","Interaccion interfaz"
"113","192.168.1.15","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-02 16:30:01","Navegando catalogo"
"114","192.168.1.15","2","Facebook","btn_agregar_carrito","2025-11-02 16:30:03","Interaccion interfaz"
"115","192.168.1.15","4","Facebook","btn_finalizar_pago_exitoso","2025-11-02 16:30:24","Venta Exitosa"
"116","192.168.1.33","1","Instagram Bio","Home_Page","2025-11-02 18:40:00","Inicio de sesion"
"117","192.168.1.33","3","Instagram Bio","vista_Chaqueta_Cuero","2025-11-02 18:40:38","Navegando catalogo"
"118","192.168.1.33","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-02 18:41:18","Navegando catalogo"
"119","192.168.1.33","2","Instagram Bio","link_menu_hombres","2025-11-02 18:41:20","Interaccion interfaz"
"120","192.168.1.10","1","Directo","Home_Page","2025-11-02 20:12:00","Inicio de sesion"
"121","192.168.1.10","3","Directo","vista_Zapatillas_Urban","2025-11-02 20:12:31","Navegando catalogo"
"122","192.168.1.10","2","Directo","img_zoom","2025-11-02 20:12:33","Interaccion interfaz"
"123","192.168.1.10","3","Directo","vista_Zapatillas_Urban","2025-11-02 20:12:52","Navegando catalogo"
"124","192.168.1.10","2","Directo","btn_agregar_carrito","2025-11-02 20:12:54","Interaccion interfaz"
"125","192.168.1.10","3","Directo","vista_Camisa_Lino_Blanca","2025-11-02 20:13:12","Navegando catalogo"
"126","192.168.1.46","1","Google Ads","Home_Page","2025-11-02 22:11:00","Inicio de sesion"
"127","192.168.1.46","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 22:11:29","Navegando catalogo"
"128","192.168.1.46","2","Google Ads","link_menu_hombres","2025-11-02 22:11:31","Interaccion interfaz"
"129","192.168.1.46","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 22:11:51","Navegando catalogo"
"130","192.168.1.46","3","Google Ads","vista_Chaqueta_Cuero","2025-11-02 22:12:25","Navegando catalogo"
"131","192.168.1.46","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 22:12:39","Navegando catalogo"
"132","192.168.1.46","5","Google Ads","btn_cancelar_checkout","2025-11-02 22:12:57","Abandono en pago"
"133","192.168.1.34","1","Facebook","Home_Page","2025-11-03 00:04:00","Inicio de sesion"
"134","192.168.1.34","3","Facebook","vista_Jean_Slim_Negro","2025-11-03 00:04:10","Navegando catalogo"
"135","192.168.1.34","2","Facebook","btn_agregar_carrito","2025-11-03 00:04:12","Interaccion interfaz"
"136","192.168.1.46","1","Directo","Home_Page","2025-11-03 02:25:00","Inicio de sesion"
"137","192.168.1.46","3","Directo","vista_Jean_Slim_Negro","2025-11-03 02:25:17","Navegando catalogo"
"138","192.168.1.46","3","Directo","vista_Chaqueta_Cuero","2025-11-03 02:25:48","Navegando catalogo"
"139","192.168.1.46","2","Directo","btn_agregar_carrito","2025-11-03 02:25:50","Interaccion interfaz"
"140","192.168.1.46","3","Directo","vista_Zapatillas_Urban","2025-11-03 02:26:02","Navegando catalogo"
"141","192.168.1.46","3","Directo","vista_Vestido_Verano_Floral","2025-11-03 02:26:21","Navegando catalogo"
"142","192.168.1.46","2","Directo","btn_agregar_carrito","2025-11-03 02:26:23","Interaccion interfaz"
"143","192.168.1.46","3","Directo","vista_Chaqueta_Cuero","2025-11-03 02:26:34","Navegando catalogo"
"144","192.168.1.46","2","Directo","img_zoom","2025-11-03 02:26:36","Interaccion interfaz"
"145","192.168.1.46","4","Directo","btn_finalizar_pago_exitoso","2025-11-03 02:27:18","Venta Exitosa"
"146","192.168.1.35","1","Directo","Home_Page","2025-11-03 03:10:00","Inicio de sesion"
"147","192.168.1.35","3","Directo","vista_Zapatillas_Urban","2025-11-03 03:10:39","Navegando catalogo"
"148","192.168.1.35","2","Directo","img_zoom","2025-11-03 03:10:41","Interaccion interfaz"
"149","192.168.1.35","3","Directo","vista_Camisa_Lino_Blanca","2025-11-03 03:11:11","Navegando catalogo"
"150","192.168.1.35","3","Directo","vista_Camisa_Lino_Blanca","2025-11-03 03:11:50","Navegando catalogo"
"151","192.168.1.35","2","Directo","btn_ver_tallas","2025-11-03 03:11:52","Interaccion interfaz"
"152","192.168.1.35","3","Directo","vista_Camisa_Lino_Blanca","2025-11-03 03:12:01","Navegando catalogo"
"153","192.168.1.35","2","Directo","img_zoom","2025-11-03 03:12:03","Interaccion interfaz"
"154","192.168.1.35","3","Directo","vista_Camisa_Lino_Blanca","2025-11-03 03:12:13","Navegando catalogo"
"155","192.168.1.35","4","Directo","btn_finalizar_pago_exitoso","2025-11-03 03:12:23","Venta Exitosa"
"156","192.168.1.4","1","Facebook","Home_Page","2025-11-03 05:50:00","Inicio de sesion"
"157","192.168.1.4","3","Facebook","vista_Chaqueta_Cuero","2025-11-03 05:50:19","Navegando catalogo"
"158","192.168.1.48","1","Facebook","Home_Page","2025-11-03 07:08:00","Inicio de sesion"
"159","192.168.1.48","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-03 07:08:06","Navegando catalogo"
"160","192.168.1.48","3","Facebook","vista_Jean_Slim_Negro","2025-11-03 07:08:17","Navegando catalogo"
"161","192.168.1.8","1","Directo","Home_Page","2025-11-03 09:07:00","Inicio de sesion"
"162","192.168.1.8","3","Directo","vista_Zapatillas_Urban","2025-11-03 09:07:31","Navegando catalogo"
"163","192.168.1.8","1","Facebook","Home_Page","2025-11-03 11:44:00","Inicio de sesion"
"164","192.168.1.8","3","Facebook","vista_Vestido_Verano_Floral","2025-11-03 11:44:24","Navegando catalogo"
"165","192.168.1.8","2","Facebook","link_menu_hombres","2025-11-03 11:44:26","Interaccion interfaz"
"166","192.168.1.8","3","Facebook","vista_Vestido_Verano_Floral","2025-11-03 11:45:05","Navegando catalogo"
"167","192.168.1.3","1","Directo","Home_Page","2025-11-03 14:10:00","Inicio de sesion"
"168","192.168.1.3","3","Directo","vista_Jean_Slim_Negro","2025-11-03 14:10:21","Navegando catalogo"
"169","192.168.1.3","2","Directo","btn_ver_tallas","2025-11-03 14:10:23","Interaccion interfaz"
"170","192.168.1.3","3","Directo","vista_Jean_Slim_Negro","2025-11-03 14:11:05","Navegando catalogo"
"171","192.168.1.3","3","Directo","vista_Vestido_Verano_Floral","2025-11-03 14:11:16","Navegando catalogo"
"172","192.168.1.40","1","Instagram Bio","Home_Page","2025-11-03 15:55:00","Inicio de sesion"
"173","192.168.1.40","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-03 15:55:31","Navegando catalogo"
"174","192.168.1.40","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-03 15:55:54","Navegando catalogo"
"175","192.168.1.40","3","Instagram Bio","vista_Chaqueta_Cuero","2025-11-03 15:56:34","Navegando catalogo"
"176","192.168.1.40","2","Instagram Bio","btn_agregar_carrito","2025-11-03 15:56:36","Interaccion interfaz"
"177","192.168.1.40","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-03 15:56:59","Navegando catalogo"
"178","192.168.1.40","2","Instagram Bio","img_zoom","2025-11-03 15:57:01","Interaccion interfaz"
"179","192.168.1.40","3","Instagram Bio","vista_Vestido_Verano_Floral","2025-11-03 15:57:34","Navegando catalogo"
"180","192.168.1.40","2","Instagram Bio","btn_agregar_carrito","2025-11-03 15:57:36","Interaccion interfaz"
"181","192.168.1.40","4","Instagram Bio","btn_finalizar_pago_exitoso","2025-11-03 15:57:53","Venta Exitosa"
"182","192.168.1.44","1","Google Ads","Home_Page","2025-11-03 17:37:00","Inicio de sesion"
"183","192.168.1.44","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 17:37:24","Navegando catalogo"
"184","192.168.1.44","2","Google Ads","img_zoom","2025-11-03 17:37:26","Interaccion interfaz"
"185","192.168.1.44","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 17:38:00","Navegando catalogo"
"186","192.168.1.4","1","Google Ads","Home_Page","2025-11-03 19:01:00","Inicio de sesion"
"187","192.168.1.4","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 19:01:17","Navegando catalogo"
"188","192.168.1.4","3","Google Ads","vista_Chaqueta_Cuero","2025-11-03 19:01:25","Navegando catalogo"
"189","192.168.1.4","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 19:01:35","Navegando catalogo"
"190","192.168.1.4","2","Google Ads","link_menu_hombres","2025-11-03 19:01:37","Interaccion interfaz"
"191","192.168.1.43","1","Directo","Home_Page","2025-11-03 20:53:00","Inicio de sesion"
"192","192.168.1.43","3","Directo","vista_Jean_Slim_Negro","2025-11-03 20:53:19","Navegando catalogo"
"193","192.168.1.43","2","Directo","btn_agregar_carrito","2025-11-03 20:53:21","Interaccion interfaz"
"194","192.168.1.43","3","Directo","vista_Chaqueta_Cuero","2025-11-03 20:54:04","Navegando catalogo"
"195","192.168.1.29","1","Newsletter","Home_Page","2025-11-03 22:07:00","Inicio de sesion"
"196","192.168.1.29","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-03 22:07:10","Navegando catalogo"
"197","192.168.1.29","2","Newsletter","img_zoom","2025-11-03 22:07:12","Interaccion interfaz"
"198","192.168.1.45","1","Newsletter","Home_Page","2025-11-03 22:29:00","Inicio de sesion"
"199","192.168.1.45","3","Newsletter","vista_Jean_Slim_Negro","2025-11-03 22:29:05","Navegando catalogo"
"200","192.168.1.45","2","Newsletter","link_menu_hombres","2025-11-03 22:29:07","Interaccion interfaz"
"201","192.168.1.45","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-03 22:29:41","Navegando catalogo"
"202","192.168.1.45","2","Newsletter","link_menu_hombres","2025-11-03 22:29:43","Interaccion interfaz"
"203","192.168.1.45","3","Newsletter","vista_Zapatillas_Urban","2025-11-03 22:30:02","Navegando catalogo"
"204","192.168.1.45","2","Newsletter","btn_agregar_carrito","2025-11-03 22:30:04","Interaccion interfaz"
"205","192.168.1.26","1","Facebook","Home_Page","2025-11-03 23:15:00","Inicio de sesion"
"206","192.168.1.26","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-03 23:15:39","Navegando catalogo"
"207","192.168.1.26","3","Facebook","vista_Vestido_Verano_Floral","2025-11-03 23:15:57","Navegando catalogo"
"208","192.168.1.26","2","Facebook","btn_agregar_carrito","2025-11-03 23:15:59","Interaccion interfaz"
"209","192.168.1.11","1","Google Ads","Home_Page","2025-11-04 01:30:00","Inicio de sesion"
"210","192.168.1.11","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-04 01:30:35","Navegando catalogo"
"211","192.168.1.11","2","Google Ads","link_menu_hombres","2025-11-04 01:30:37","Interaccion interfaz"
"212","192.168.1.11","3","Google Ads","vista_Jean_Slim_Negro","2025-11-04 01:31:06","Navegando catalogo"
"213","192.168.1.11","2","Google Ads","btn_agregar_carrito","2025-11-04 01:31:08","Interaccion interfaz"
"214","192.168.1.11","3","Google Ads","vista_Chaqueta_Cuero","2025-11-04 01:31:36","Navegando catalogo"
"215","192.168.1.11","2","Google Ads","btn_agregar_carrito","2025-11-04 01:31:38","Interaccion interfaz"
"216","192.168.1.11","3","Google Ads","vista_Chaqueta_Cuero","2025-11-04 01:32:08","Navegando catalogo"
"217","192.168.1.11","5","Google Ads","btn_cancelar_checkout","2025-11-04 01:33:02","Abandono en pago"
"218","192.168.1.4","1","Directo","Home_Page","2025-11-04 02:31:00","Inicio de sesion"
"219","192.168.1.4","3","Directo","vista_Vestido_Verano_Floral","2025-11-04 02:31:34","Navegando catalogo"
"220","192.168.1.14","1","Instagram Bio","Home_Page","2025-11-04 05:18:00","Inicio de sesion"
"221","192.168.1.14","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-04 05:18:05","Navegando catalogo"
"222","192.168.1.14","2","Instagram Bio","btn_agregar_carrito","2025-11-04 05:18:07","Interaccion interfaz"
"223","192.168.1.14","3","Instagram Bio","vista_Vestido_Verano_Floral","2025-11-04 05:18:45","Navegando catalogo"
"224","192.168.1.14","2","Instagram Bio","btn_agregar_carrito","2025-11-04 05:18:47","Interaccion interfaz"
"225","192.168.1.14","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-04 05:19:13","Navegando catalogo"
"226","192.168.1.14","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-04 05:19:20","Navegando catalogo"
"227","192.168.1.14","2","Instagram Bio","img_zoom","2025-11-04 05:19:22","Interaccion interfaz"
"228","192.168.1.14","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-04 05:19:37","Navegando catalogo"
"229","192.168.1.14","4","Instagram Bio","btn_finalizar_pago_exitoso","2025-11-04 05:19:57","Venta Exitosa"
"230","192.168.1.20","1","Instagram Bio","Home_Page","2025-11-04 06:23:00","Inicio de sesion"
"231","192.168.1.20","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-04 06:23:42","Navegando catalogo"
"232","192.168.1.20","2","Instagram Bio","btn_ver_tallas","2025-11-04 06:23:44","Interaccion interfaz"
"233","192.168.1.44","1","Google Ads","Home_Page","2025-11-04 08:51:00","Inicio de sesion"
"234","192.168.1.44","3","Google Ads","vista_Jean_Slim_Negro","2025-11-04 08:51:21","Navegando catalogo"
"235","192.168.1.44","2","Google Ads","img_zoom","2025-11-04 08:51:23","Interaccion interfaz"
"236","192.168.1.44","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-04 08:51:40","Navegando catalogo"
"237","192.168.1.44","3","Google Ads","vista_Chaqueta_Cuero","2025-11-04 08:52:21","Navegando catalogo"
"238","192.168.1.44","1","Instagram Bio","Home_Page","2025-11-04 10:45:00","Inicio de sesion"
"239","192.168.1.44","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-04 10:45:37","Navegando catalogo"
"240","192.168.1.44","2","Instagram Bio","img_zoom","2025-11-04 10:45:39","Interaccion interfaz"
"241","192.168.1.44","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-04 10:46:02","Navegando catalogo"
"242","192.168.1.44","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-04 10:46:09","Navegando catalogo"
"243","192.168.1.44","3","Instagram Bio","vista_Chaqueta_Cuero","2025-11-04 10:46:18","Navegando catalogo"
"244","192.168.1.44","3","Instagram Bio","vista_Chaqueta_Cuero","2025-11-04 10:46:23","Navegando catalogo"
"245","192.168.1.44","4","Instagram Bio","btn_finalizar_pago_exitoso","2025-11-04 10:46:58","Venta Exitosa"
"246","192.168.1.18","1","Facebook","Home_Page","2025-11-04 11:36:00","Inicio de sesion"
"247","192.168.1.18","3","Facebook","vista_Zapatillas_Urban","2025-11-04 11:36:22","Navegando catalogo"
"248","192.168.1.23","1","Newsletter","Home_Page","2025-11-04 13:22:00","Inicio de sesion"
"249","192.168.1.23","3","Newsletter","vista_Zapatillas_Urban","2025-11-04 13:22:41","Navegando catalogo"
"250","192.168.1.34","1","Google Ads","Home_Page","2025-11-04 15:15:00","Inicio de sesion"
"251","192.168.1.34","3","Google Ads","vista_Zapatillas_Urban","2025-11-04 15:15:11","Navegando catalogo"
"252","192.168.1.29","1","Google Ads","Home_Page","2025-11-04 16:18:00","Inicio de sesion"
"253","192.168.1.29","3","Google Ads","vista_Jean_Slim_Negro","2025-11-04 16:18:17","Navegando catalogo"
"254","192.168.1.29","2","Google Ads","btn_ver_tallas","2025-11-04 16:18:19","Interaccion interfaz"
"255","192.168.1.29","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-04 16:19:01","Navegando catalogo"
"256","192.168.1.29","3","Google Ads","vista_Chaqueta_Cuero","2025-11-04 16:19:41","Navegando catalogo"
"257","192.168.1.29","2","Google Ads","btn_ver_tallas","2025-11-04 16:19:43","Interaccion interfaz"
"258","192.168.1.29","3","Google Ads","vista_Chaqueta_Cuero","2025-11-04 16:20:20","Navegando catalogo"
